"Add to Cart","in den Korb"
"Additional Payment Information", "Hinweis:"
"All Categories","Alle Kategorien"
"Audiobooks","Hörbücher"
"Books","Bücher"
"Browse By:", "Auswahl eingrenzen:"
"Checkout without Registering", "Bestellen als Gast (ohne Registrierung)"
"Clear All Items","Alle entfernen"
"Complete Checkout", "Bestellung abschließen"
"Continue Shopping","Einkauf fortsetzen"
"Currently Shopping by","Aktive Kriterien"
"Customer #","Kundennummer"
"Customer # (if known)","Kundennummer (wenn bekannt)"
"Dear %s","Sehr geehrte(r) %s"
"Details to VAT", "Details zur Mehrwertsteuer"
"Discount","Rabatt"
"Email to a Friend","Artikel einem Freund empfehlen"
"excl. Shipping", "zzgl. Versand"
"Get another CAPTCHA","Anderes Bild anzeigen"
"Grand Total","Gesamtsumme"
"Grid","Gitter"
"In stock","Auf Lager"
"In stock.","Auf Lager."
"Incl. %s %% VAT", "inkl. %s%% MwSt."
"Included VAT", "Enthaltene Mehrwertsteuer"
"Keep your eyes open for our special Back to School items and save A LOT!","Achten Sie auf unsere speziellen Zurück in die Schule Produkte und SPAREN Sie!"
"Help","Hilfe"
"List","Liste"
"Log In","Anmelden"
"Magento Products Office","Magento Products Office"
"Music","Musik"
"My Account","Mein Benutzerkonto"
"My Shopping Cart", "Mein Warenkorb"
"New Password for %s","Neues Passwort f&uuml;r %s"
"Nickname","Anzeigename"
"Not orderable products are shown","Nicht lieferbare Produkte werden Ihnen nun angezeigt"
"Not orderable products are not shown","Nicht lieferbare Produkte werden Ihnen nicht mehr angezeigt"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Unser Kunden-Service ist - rund um die Uhr - an 7 Tagen erreichbar. Rufen Sie uns an unter: (800) DEMO-NUMMER"
"Out of stock!","Nicht lieferbar!"
"Payment Account holder", "Empfänger:"
"Payment Account number", "Kontonummer:"
"Payment Sort code", "BLZ:"
"Payment Bank name", "Name der Bank:"
"Payment IBAN", "IBAN:"
"Payment BIC", "BIC:"
"Please check that all given information and the listed products are correct before submitting your order.", "Bitte überprüfen Sie, ob alle Angaben korrekt sind, und die gewünschten Produkte und Mengen angezeigt werden, bevor Sie die Bestellung auslösen."
"Please individualize your product:","Wählen Sie Ihr individuelles Produkt:"
"Please log in below to complete your Order:", "Bitte melden Sie sich hier an um Ihre Bestellung abzuschließen:"
"Please read the following terms and conditions and confirm, that you understand and accept them.", "Bitte lesen Sie die folgenden Bestimmungen sorgfältig und erklären Sie Ihr Einverständnis, um die Bestellung abschließen zu können."
"Please select a shipping method for your order.", "Bitte wählen Sie eine Versandart für Ihre Bestellung aus."
"Please select a payment method for your order.", "Bitte wählen Sie eine Zahlungsart für Ihre Bestellung aus."
"Please select your shipping method:", "Bitte wählen Sie die gewünschte Versandart aus:"
"Please specify the billing address for your order.", "Bitte geben Sie die Rechnungsadresse für Ihre Bestellung an."
"Please specify the shipping address for your order.", "Bitte geben Sie die Versandadresse für Ihre Bestellung an."
"Preorder now","Vorbestellen"
"Proceed to Checkout not possible!","Bezahlvorgang fortsetzen nicht möglich!"
"Qty","Menge"
"Register with us for future convenience or checkout as guest:", "Registrieren Sie sich für eine schnelle Bestellab- wicklung bei Ihrem nächsten Besuch oder bestellen Sie einfach ohne Registrierung:"
"Release on %s","Verfügbar ab %s"
"Remove","Entfernen"
"Review","Bewertungstext"
"Save","Speichern"
"Search entire store here...","Konsum durchsuchen ..."
"Search results for '%s'","Ihre Suche nach '%s'"
"Search results for '%s' in %s","Ihre Suche nach '%s' in %s"
"Send email","E-Mail Senden"
"Shipping &amp; Processing", "Versand &amp; Bearbeitung"
"Shipping Amount","Versandkosten"
"Shop by","Auswahl eingrenzen"
"Show not orderable products","Zeige auch nicht lieferbare Produkte"
"Sign up for our newsletter:","Abonnieren Sie unseren Newsletter:"
"Sort by","Sortieren nach"
"Spam Protection","Schutz gegen Spam"
"Subtotal","Zwischensumme"
"Subtotal (incl. Tax)", "Zwischensumme (Brutto)"
"Summary of Your Review","Zusammenfassung Ihrer Bewertung"
"Tax Amount","Steuerbetrag"
"Thank You,","Danke,"
"Thank you very much!","Vielen Dank!"
"View","Anzeigen"
"You can change your password at any time by logging into the ""My Account"" section.","Sie können Ihr Passwort jederzeit im Bereich ""Mein Benutzerkonto"" ändern."
"You will be charged an extra fee of %s.", "zzgl. %s Nachnahmegebühr"
"You're currently on:","Momentan in:"
"You're reviewing: %s","Sie bewerten: %s"
"Your cart contains the following products:", "Der Warenkorb enthält folgende Produkte:"
"Your new password is: %s","Ihr neues Password lautet: %s"
