"Trusted Shops Customer Rating","Système d'évaluation Trusted Shops"
"For online buyers, positive and verifiable customer ratings are an important indication of an online shop's trustworthiness. The required software is already included in Market Ready Germany for Magento, so you can start collecting customer ratings in your online shop too in just a few clicks.","Les évaluations positives et vérifiables représentent un indice de confiance du site marchand important pour le consommateur. Les fonctionnalités nécessaires sont déjà intégrées dans votre solution e-commerce, afin que vous puissiez collecter rapidement des évaluations."
"Orientation support for your customers","Aide d'orientation pour vos clients"
"Satisfied customers are your best salespeople. Let your customers speak for themselves as to how safe and easy it is to buy from your online shop.","Les clients satisfaits sont les meilleurs vendeurs. Laissez vos clients témoigner de leur satisfaction lors de l'achat dans votre boutique."
"Basis for shop optimisation","Base de l'optimisation de votre boutique"
"Your customers are happy to help you optimise your shop with their feedback. After all, the better your online shop works, the more satisfied your customers will be.","Les clients satisfaits sont les meilleurs vendeurs. Laissez vos clients témoigner de leur satisfaction lors de l'achat dans votre boutique."
"Increase reach via Facebook, Twitter and Google","Diffusez les évaluation et commentaires sur Facebook, Twitter et Google Shopping"
"Your customers spread reviews and rating on Facebook and Twitter directly to friends and followers. Ratings are automatically listed in the Google-Index and are displayed in Google Shopping.","Vos clients peut diffuser évaluation et commentaires à leurs amis et followers sur Facebook et Twitter. Evaluations et commentaires sont indéxés automatiquement dans Google Shopping."
"http://www.trustedshops.com/merchants/membership.html","http://www.trustedshops.com/marchands/affiliation.html"
"Spanish","Espagnol"
"Trusted Shops documentation","Trusted Shops documentation"
