"Data","Dane"
"Activation","Aktywacja"
"Shop Language","Język sklepu"
"Activate TrustedRating?","Aktywuj system opinii?"
"Documentation","Dokumentacja"
"Checkout our Specialoffer now!","Zapoznaj się teraz z naszą specjalną ofertą!"
"German","Niemiecki"
"English","Anglieski"
"French","Francuski"
"Spanish","Hiszpański"
"Trusted Shops documentation","Dokumentacja Trusted Shops"
"Include shipments after (Year)","Uwzględnij przesyłki po (rok)"
"Month","Miesiąc"
"Day","Dzień"
"Hour","Godzina"
"Minute","Minuta"
"Please note that if you enter some date in the past, all customers which ordered something from than on will receive an email from this module.","Należy pamiętać, że jeśli wprowadzisz jakąś datę z przeszłości, wszyscy klienci którzy zamówili towary od tego czasu, otrzymają E-maila od tego modułu."
"Please note: This is Magento internal time, which is in GMT.","Uwaga: Wewnętrzny czas Magento to GMT."
"TrustedShops return value: ","Wartość zwracana TrustedShops:"
"Email with rating request","E-mail z prośbą o ocenę"
"Days after shipment","Dni po wysyłce"
"0 = Immediately after placement of the order","0 = Natychmiast po złożeniu zamówienia"
"Mail can be sent only for orders placed after installation of this module.","E-Maile mogą być wysłane tylko dla zamówień złożonych po instalacji tego modułu."
"Installation date (GMT)","Data instalacji (GMT)"
"Trusted Shops ratings","Opinie Trusted Shops"
"Positive and verifiable customer ratings for online shoppers are an important indication of the online shops' trustworthiness. The necessary software is already in your shop solution, so you can get to your store ratings with just a few clicks.","Pozytywne i sprawdzalne opinie klientów są dla kupujących online ważną oznaką wiarygodności sklepów internetowych. Niezbędne oprogramowanie jest już zintegrowane w oprogramowaniu sklepu, więc można dotrzeć do opinii za pomocą zaledwie kilku kliknięć."
"The users evaluate the quality of the website, the delivery of the product and customer service. Additionally, the buyers can add a free comment to their evaluation.","Użytkownicy sklepu oceniają jakość strony internetowej, dostawę produktu i obsługę klienta. Dodatkowo kupujący mogą dodać bezpłatnie komentarz do ich oceny."
"Your benefits","Twoje korzyści"
"Get to know your customer's needs better and improve your service. <br /> Make such satisfied customers your best sellers!","Poznaj potrzeby twoich klientów lepiej i popraw twoje usługi. Niech tacy zadowoleni klienci bedą twoimi najlepszymi sprzedawcami. "
"More sales with more confidence","Większa sprzedaż przez większe zaufanie."
"Guidance for your clients","Poradnik dla klientów"
"Real ratings in the shop","Prawdziwe opinie w sklepie"
"Better service through feedback","Lepszy serwis dzięki opinii"
"Web-based solution without the expense","Web-based rozwiązanie bez kosztów"
"Basis for shop improvements","Podstawa do poprawy sklepu"
"Evaluations and benchmarks","Oceny i benchmarki"
"How it works","Jak to działa?"
"You log in to this site for the Trusted Shops ratings.","Zaloguj się na tej stronę aby dotrzeć do opinii Trusted Shops."
"You will receive your access data and your personal Trusted Shops ID by e-mail, which you should then enter in the input field. The widget then integrates itself automatically into the template as well as integrates the evaluation request into the system e-mails.","Otrzymasz dane aby się zalogować do systemu i osobisty Trusted ID przez E-mail, który należy wpisać w odpowiednim polu. Widget następnie integruje się automatycznie do szablonu, a także integruje prośbę o oddanie opinii do E-maili oprogramowania."
"Your customers leave evaluations, that you can check and confirm. In the business area you can analyze the customer ratings.","Twoi klienci piszą opinie, które możesz sprawdzić i potwierdzić. Istnieje możliwość analizy opinii klientów."
"Trusted Shops Customer Rating","System Opinii o sklepie Trusted Shops"
"For online buyers, positive and verifiable customer ratings are an important indication of an online shop's trustworthiness. The required software is already included in Market Ready Germany for Magento, so you can start collecting customer ratings in your online shop too in just a few clicks.","Pozytywne i sprawdzalne opinie klientów są dla kupujących online ważną oznaką wiarygodności sklepów internetowych. Niezbędne oprogramowanie jest już zintegrowane w oprogramowaniu MRG Poland, więc możesz zacząć zbierać opinie za pomocą zaledwie kilku kliknięć."
"Orientation support for your customers","Wspieranie orientacji dla klientów"
"Satisfied customers are your best salespeople. Let your customers speak for themselves as to how safe and easy it is to buy from your online shop.","Zadowoleni klienci są najlepszymi sprzedawcami. Pozwól swoim klientom mówić, jak bezpieczne i łatwo jest kupić w twoim sklepie internetowym."
"Basis for shop optimisation","Podstawa do optymalizcji sklepu"
"Your customers are happy to help you optimise your shop with their feedback. After all, the better your online shop works, the more satisfied your customers will be.","Twoi klienci chętnie tobie pomogą przy optymalizacji twojego sklepu. W końcu będą bardziej zadowoleni, im lepiej sklep online będzie działał."
"Increase reach via Facebook, Twitter and Google","Zwiększ zasięg poprzez Facebook, Twitter i Google."
"Your customers spread reviews and rating on Facebook and Twitter directly to friends and followers. Ratings are automatically listed in the Google-Index and are displayed in Google Shopping.","Twoi klienci rozprzestrzeniają opinie i oceny na Facebook i Twitter bezpośrednio do przyjaciół i znajomych. Oceny te są automatycznie umieszczane w Google-Index."
"http://www.trustedshops.com/merchants/membership.html","http://www.trustedshops.pl/handlowcy/cennik.html"
"Show rating widget","Wyświetl widget z oceną na stronie głównej sklepu"
